Variable,Mean,Median,Minimum,Maximum,SD
success,0.763,1.000,0.000,1.000,0.425
amount,32911.323,3838.000,1.000,5988089.000,198177.017
female_creator,0.327,0.000,0.000,1.000,0.469
goal,19135.292,4000.000,1.000,14000000.000,182854.201
words,408.228,305.000,2.000,2588.000,362.641
backers_count,345.801,65.000,1.000,55024.000,1595.292
serial_entrepreneur,0.252,0.000,0.000,1.000,0.434
duration,32.190,30.000,1.000,73.958,12.615
category_art,0.121,0.000,0.000,1.000,0.327
category_comics,0.112,0.000,0.000,1.000,0.315
category_crafts,0.018,0.000,0.000,1.000,0.135
category_dance,0.002,0.000,0.000,1.000,0.045
category_design,0.072,0.000,0.000,1.000,0.259
category_fashion,0.052,0.000,0.000,1.000,0.222
category_film&video,0.085,0.000,0.000,1.000,0.278
category_food,0.060,0.000,0.000,1.000,0.238
category_games,0.173,0.000,0.000,1.000,0.378
category_journalism,0.009,0.000,0.000,1.000,0.092
category_music,0.080,0.000,0.000,1.000,0.271
category_photography,0.014,0.000,0.000,1.000,0.116
category_publishing,0.110,0.000,0.000,1.000,0.313
category_technology,0.081,0.000,0.000,1.000,0.273
category_theater,0.009,0.000,0.000,1.000,0.097
month_january,0.083,0.000,0.000,1.000,0.276
month_february,0.083,0.000,0.000,1.000,0.276
month_march,0.083,0.000,0.000,1.000,0.276
month_april,0.083,0.000,0.000,1.000,0.276
month_may,0.083,0.000,0.000,1.000,0.276
month_june,0.083,0.000,0.000,1.000,0.276
month_july,0.083,0.000,0.000,1.000,0.276
month_august,0.083,0.000,0.000,1.000,0.276
month_september,0.083,0.000,0.000,1.000,0.276
month_october,0.083,0.000,0.000,1.000,0.276
month_november,0.083,0.000,0.000,1.000,0.276
month_december,0.083,0.000,0.000,1.000,0.276
year_2019,0.194,0.000,0.000,1.000,0.396
year_2020,0.333,0.000,0.000,1.000,0.471
year_2021,0.333,0.000,0.000,1.000,0.471
year_2022,0.139,0.000,0.000,1.000,0.346
media,0.873,1.000,0.000,1.000,0.333
sustainability,0.039,0.000,0.000,1.000,0.194
business,2.130,1.582,0.000,25.000,2.105
empathic,2.299,1.906,0.000,30.000,1.909
social,11.152,10.714,0.000,45.455,4.880
