Variable,Success (mean),Failure (mean),t-Value,p-Value
amount,86187.9574795524,1467.0791784274195,1.9851634002488063,0.04716889097408525
female,0.32807620237351653,0.3240927419354839,0.3304088745447923,0.7410992907633929
goal,9108.672827592989,54538.63205645163,-5.41972575654355,< 0.001
words,447.1263272954404,282.671875,17.984633535434607,< 0.001
backers_count,448.0737039350406,15.686995967741936,19.068172091366332,< 0.001
serial_entrepreneur,0.32386008744534667,0.019153225806451613,46.10821072662366,< 0.001
duration,29.70023100615645,40.2271489566999,-34.73121072298924,< 0.001
category_art,0.13429106808244848,0.08014112903225806,6.466370240503923,< 0.001
category_comics,0.13569643972517176,0.03477822580645161,12.578317591733313,< 0.001
category_crafts,0.012960649594003748,0.036290322580645164,-6.759547021712032,< 0.001
category_dance,0.0021861336664584633,0.0015120967741935483,0.5832480142789566,0.5597420371730644
category_design,0.08853841349156777,0.020161290322580645,14.394242312779182,< 0.001
category_fashion,0.04840724547158026,0.06451612903225806,-2.819190681782334,0.004825777430322269
category_film&video,0.06261711430356028,0.15574596774193547,-13.153440554539783,< 0.001
category_food,0.03622735790131168,0.13860887096774194,-17.004423091398706,< 0.001
category_games,0.20924422236102436,0.05695564516129032,15.893877182103221,< 0.001
category_journalism,0.0037476577139287947,0.024193548387096774,-5.785654245012958,< 0.001
category_music,0.08322923173016865,0.07006048387096774,1.8881215694525812,0.059044120608011244
category_photography,0.012179887570268583,0.018145161290322582,-2.0053871454435725,0.04495374600411177
category_publishing,0.12460961898813241,0.06350806451612903,7.62084366996919,< 0.001
category_technology,0.03794503435352904,0.2217741935483871,-19.089282385532176,< 0.001
category_theater,0.008119925046845722,0.013608870967741936,-2.212084038475665,0.026987710602857585
month,6.435509056839475,6.708165322580645,-3.0753769543557006,0.00210913186847033
year,2020.4511242973142,2020.305443548387,5.956347107918992,< 0.001
media,0.9587757651467833,0.5967741935483871,32.05667032788228,< 0.001
sustainability,0.03685196752029981,0.04586693548387097,-1.812820712913945,0.06989521826913851
